2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
272,Centennial,Colorado,110831,100377,+10.41,29.5  ,76.4 ,"3,727 ","1,439", ﻿39.5906°N 104.8691°W,"A centennial is a 100th anniversary or otherwise relates to a century, a period of 100 years.
Notable centennial events at a national or world-level include:

Centennial Exhibition, 1876, Philadelphia, Pennsylvania.  First official World's Fair in the United States, celebrating the 100th anniversary of the signing of the Declaration of Independence in Philadelphia.  About 10 million visitors attended, equivalent to about 20% of the population of the United States at the time.  The exhibition ran from May 10, 1876, to November 10, 1876. (It included a monorail.)
New Zealand Centennial Exhibition, 1939–1940, celebrated one hundred years since the signing of the Treaty of Waitangi in 1840 and the subsequent mass European settlement of New Zealand. 2,641,043 (2.6 million) visitors attended the exhibition, which ran from 8 November 1939 until 4 May 1940.
1967 International and Universal Exposition, better known as Expo 67, celebrating Canada's centennial year.  This ""Category One"" World's Fair held in Montreal, Quebec, Canada, from April 27 to October 29, 1967. Sixty-two nations participated, and it set the single-day attendance record for a world's fair, with 569,500 visitors on its third day.  Official attendance was 50,306,648.  Was endpoint of the Centennial Voyageur Canoe Pageant, the longest canoe race in history.  (Its monorail was a major attraction.)
100th Anniversary of the Independence of Albania
First World War centenary, started in 2014 with commemorations of the outbreak of the war and concluded in 2018.Selected regional or other centennial events include:

in ArgentinaArgentina Centennial (1910)in AustraliaCentenary of Western Australia, in 1929, which included the Western Australian Centenary Air Race across Australia.
1934 Centenary of Melbournein CanadaCanadian Centennial (1967)
Centennial of the City of Torontoin the United StatesAmerican Civil War Centennial
Oregon Centennial
Texas Centennial ExpositionIrelandDecade of Centenaries", ﻿39.5906,104.8691
273,Lakeland,Florida,110516,97422,+13.44,65.9  ,170.7 ,"1,615 ",624, ﻿28.0555°N 81.9549°W,Summary not be fetched due to disambiguation, ﻿28.0555,81.9549
274,Gresham,Oregon,110158,105594,+4.32,23.3  ,60.3 ,"4,786 ","1,848", ﻿45.5023°N 122.4416°W,Summary not be fetched due to disambiguation, ﻿45.5023,122.4416
275,Richmond,California,110146,103701,+6.21,30.1  ,78.0 ,"3,648 ","1,409", ﻿37.9523°N 122.3606°W,Summary not be fetched due to disambiguation, ﻿37.9523,122.3606
276,Billings,Montana,109550,104170,+5.16,43.7  ,113.2 ,"2,525 ",975, ﻿45.7885°N 108.5499°W,"Billings is the largest city in the U.S. state of Montana, with a population estimated at 109,550 as of 2018. Located in the south-central portion of the state, it is the seat of Yellowstone County and the principal city of the Billings Metropolitan Area, which has a population of 171,677. It has a trade area of over 500,000.Billings was nicknamed the ""Magic City"" because of its rapid growth from its founding as a railroad town in March 1882. The city is named for Frederick H. Billings, a former president of the Northern Pacific Railroad. With one of the largest trade areas in the United States, Billings is the trade and distribution center for much of Montana east of the Continental Divide, Northern Wyoming, and western portions of North Dakota and South Dakota. Billings is also the largest retail destination for much of the same area.
The city is experiencing rapid growth and a strong economy; it has had and is continuing to have the largest growth of any city in Montana. Parts of the metro area are seeing hyper growth. From 2000 to 2010 Lockwood, an eastern suburb, saw growth of 57.8%, the largest growth rate of any community in Montana. Billings has avoided the economic downturn that affected most of the nation from 2008 to 2012 as well as the housing bust. With more hotel accommodations than any area within a five-state region, the city hosts a variety of conventions, concerts, sporting events, and other rallies. With the Bakken oil development in eastern Montana and western North Dakota, the largest oil discovery in U.S. history, as well as the Heath shale oil discovery just north of Billings, the city's growth rate stayed high during the shale oil boom. Although the city is growing, its growth rate has diminished markedly with oil price declines in recent years.Area attractions include Pompey's Pillar, Pictograph Cave, Chief Plenty Coups State Park, Zoo Montana, and Yellowstone Art Museum. Within 100 miles are Little Bighorn Battlefield National Monument, Bighorn Canyon National Recreation Area, Red Lodge Mountain Resort, and the Beartooth Highway, which links Red Lodge to Yellowstone National Park.", ﻿45.7885,108.5499
277,Inglewood,California,109419,109673,−0.23,9.1  ,23.6 ,"12,160 ","4,700", ﻿33.9561°N 118.3443°W,"Inglewood is a city in southwestern Los Angeles County, California in the Los Angeles metropolitan area. As of the 2010 U.S. Census, the city had a population of 109,673. It was incorporated on February 14, 1908. The city is in the South Bay region of Los Angeles County. Los Angeles Stadium at Hollywood Park is currently under construction in the city and, when completed around 2020, will be the new home of both the National Football League's Los Angeles Rams and Los Angeles Chargers. The city is also close to Los Angeles International Airport.", ﻿33.9561,118.3443
278,Broken Arrow,Oklahoma,109171,98850,+10.44,61.7  ,159.8 ,"1,741 ",672, ﻿36.0365°N 95.7810°W,Summary not be fetched due to disambiguation, ﻿36.0365,95.7810
279,Sandy Springs,Georgia,108797,93853,+15.92,37.7  ,97.6 ,"2,804 ","1,083", ﻿33.9315°N 84.3687°W,"Sandy Springs is a city in northern Fulton County, Georgia, United States, and part of the Atlanta metropolitan area. As of the 2010 census, Sandy Springs had a population of 93,853, and its 2017 estimated population was 106,739. Sandy Springs is Georgia's seventh-largest city (just after Athens) and is the site of several corporate headquarters (though many are assigned ""Atlanta"" mailing addresses) such as UPS, Inspire Brands, Cox Communications, and Mercedes-Benz USA's corporate offices.", ﻿33.9315,84.3687
280,Jurupa Valley,California,108393,0,,42.9  ,111.1 ,"2,414 ",932, ﻿34.0026°N 117.4676°W,"Jurupa Valley is a city in Riverside County, California. It is located next to Eastvale. On March 8, 2011, voters approved a ballot measure, designated as Measure A, to incorporate the area into its own city; as a result, the area has been an incorporated city since July 1, 2011.The city of Jurupa Valley covers approximately 43.5 square miles (113 km2), and has an estimated population of 106,028.  Residents of the area had previously voted on incorporation in 1992; however, voters rejected it as well as a competing ballot measure that would have incorporated Mira Loma.", ﻿34.0026,117.4676
281,Hillsboro,Oregon,108389,91611,+18.31,25.0  ,64.7 ,"4,207 ","1,624", ﻿45.5280°N 122.9357°W,Summary not be fetched due to disambiguation, ﻿45.5280,122.9357
282,Waterbury,Connecticut,108093,110366,−2.06,28.5  ,73.8 ,"3,799 ","1,467", ﻿41.5585°N 73.0367°W,"Waterbury (nicknamed ""The Brass City"") is a city in the U.S. state of Connecticut on the Naugatuck River, 33 miles southwest of Hartford and 77 miles  northeast of New York City. Waterbury is the second-largest city in New Haven County, Connecticut. As of the 2010 census, Waterbury had a population of 110,366, making it the 10th largest city in the New York Metropolitan Area, 9th largest city in New England and the 5th largest city in Connecticut.Throughout the first half of the 20th century, Waterbury had large industrial interests and was the leading center in the United States for the manufacture of brassware (including castings and finishings), as reflected in the nickname the ""Brass City"" and the city's motto Quid Aere Perennius? (""What Is More Lasting Than Brass?""). It was also noted for the manufacture of watches and clocks.
The city is along Interstate 84 (Yankee Expressway) and Route 8 and has a Metro-North railroad station with connections to Grand Central Terminal. Waterbury is also home to Post University and the regional campuses of the University of Connecticut, University of Bridgeport, Western Connecticut State University as well as Naugatuck Valley Community College.", ﻿41.5585,73.0367
283,Santa Maria,California,107408,99553,+7.89,22.8  ,59.1 ,"4,662 ","1,800", ﻿34.9332°N 120.4438°W,Summary not be fetched due to disambiguation, ﻿34.9332,120.4438
284,Boulder,Colorado,107353,97385,+10.24,24.8  ,64.2 ,"4,358 ","1,683", ﻿40.0270°N 105.2519°W,"In geology, a boulder is a rock fragment with size greater than 25.6 centimetres (10.1 in) in diameter. Smaller pieces are called cobbles and pebbles. While a boulder may be small enough to move or roll manually, others are extremely massive. 
In common usage, a boulder is too large for a person to move. Smaller boulders are usually just called rocks or stones. The word boulder is short for boulder stone, from Middle English bulderston or Swedish bullersten.In places covered by ice sheets during Ice Ages, such as Scandinavia, northern North America, and Siberia,  glacial erratics are common.  Erratics are boulders picked up by ice sheets during their advance, and deposited when they melt.   They are called ""erratic"" because they typically are of a different rock type than the bedrock on which they are deposited.  One of them is used as the pedestal of the Bronze Horseman in Saint Petersburg, Russia.
Some noted rock formations involve giant boulders exposed by erosion, such as the Devil's Marbles in Australia's Northern Territory, the Horeke basalts in New Zealand, where an entire valley contains only boulders, and The Baths on the island of Virgin Gorda in the British Virgin Islands.
Boulder-sized clasts are found in some sedimentary rocks, such as coarse conglomerate and boulder clay.
The climbing of large boulders is called bouldering.", ﻿40.0270,105.2519
